	text	F-cumsum	S
0	to	0.044537529047823446	0.8558426651296398
1	.	0.08895664658604815	0.9669491938833498
2	be	0.1322508547830849	0.9898789775786458
3	my	0.16360030194934946	1.1246959855930174
4	new	0.18857032903598228	1.2743523343763907
5	resolution	0.20690931158508605	1.3790272011991829
6	i	0.2372226580423617	1.4298937900972686
7	years	0.25082518020751615	1.6766918662755084
8	a	0.2676692174479359	1.7465906232492752
9	and	0.281404952561389	1.7993925389676457
10	the	0.2993294948268972	1.8186777360709385
11	more	0.31290241411465197	1.8858760648978388
12	year	0.3270525895117006	1.8924480983604561
13	in	0.33750240523378877	2.0774935331088895
14	for	0.34619084975059583	2.2256077101796405
15	not	0.3556785719571943	2.23576748667547
16	of	0.3651958970411925	2.2427433602688414
17	get	0.3737955329258005	2.306570772016899
18	,	0.3907283787984193	2.5097128065800653
19	that	0.39710779887805103	2.5099318125094325
20	this	0.4028359556548897	2.5361406938084246
21	on	0.4090821627862229	2.5447267685941277
22	do	0.4164828821361437	2.583329170782286
23	go	0.42296591228667435	2.60438888669047
24	make	0.4288124805731118	2.6673729397934913
25	have	0.4348958718787467	2.7339182357915046
26	stop	0.4395287221917971	2.7499707138221985
27	with	0.44459081422714297	2.789367405956763
28	!	0.46211571764775544	2.888647499351548
29	it	0.46809549888249147	2.890519948907822
30	will	0.4726691434407425	2.96357125845921
31	start	0.47633990023830325	3.063304544143368
32	so	0.4797886354553664	3.1209609615849505
33	...	0.483844229659123	3.1680909751520323
34	out	0.4868637231538907	3.176012256879794
35	all	0.49007563535175636	3.187221889130155
36	people	0.492725092879028	3.2246690674521776
37	time	0.49595180651559345	3.2429722968406227
38	;	0.49993339352585087	3.2856287105700135
39	up	0.5027160640014211	3.2900705980594767
40	well	0.5056023445478902	3.3170295187458687
41	's	0.5083406107073609	3.357304464916611
42	like	0.5109160610411334	3.405522711528591
43	&	0.5142759876259975	3.4205521510881813
44	one	0.5170586581015677	3.437006590142324
45	you	0.5212918695697224	3.4545929920701095
46	amp	0.5245333846449877	3.455098674389136
47	no	0.5275972824558549	3.472241939969794
48	just	0.5299655126478295	3.4772952323857402
49	happy	0.532718580246	3.4773443722907067
50	-	0.5360489039534644	3.4799439909334215
51	what	0.5383431269519399	3.484702852013849
52	can	0.5408149672148134	3.5113595098688117
53	less	0.5436420420064831	3.517841123560586
54	at	0.5462618966563552	3.518746229118921
55	life	0.5487929426740281	3.537523210687877
56	about	0.5510427613564041	3.6011642199489553
57	take	0.5530853598969823	3.6191170158298434
58	eat	0.5553795828954577	3.6397909520247427
59	myself	0.5573037699264372	3.689289568447533
60	but	0.5589467296221196	3.702524671980598
61	try	0.5607673065822001	3.7151772087736585
62	good	0.56264708929708	3.7169394778528893
63	money	0.5645268720119598	3.7169394778528893
64	day	0.5670727194683326	3.7380923748146704
65	work	0.5689080978671129	3.745381901527917
66	your	0.5711283136720892	3.7527851872254394
67	keep	0.5728896848773704	3.7530801481051865
68	want	0.57478426903095	3.7854781152101524
69	let	0.5764124272879326	3.798996306282948
70	from	0.5780997912997146	3.802592906358452
71	by	0.5797723538727967	3.8127992667959854
72	only	0.5814153135684791	3.8335326363400655
73	than	0.5828806559997634	3.8661393068123844
74	back	0.5844496085019466	3.887345085599121
75	think	0.5861221710750287	3.902605296454301
76	love	0.5879279465964095	3.933811261733415
77	now	0.5892304732019955	3.934718058814726
78	how	0.5906514113171804	3.951074135512778
79	need	0.5921759595032641	3.9711546200536296
80	last	0.5936265004958485	3.9800151811142572
81	thing	0.5951362472432323	3.983295043382457
82	who	0.596571986797117	3.992231157757703
83	possible	0.5978005062092039	3.9932142654963347
84	give	0.5991622385695893	3.9991839852507267
